run_date;draw_date;grid;model;nums;stars;seed;real_nums;real_stars;match_nums;match_stars
2026-07-31;2026-07-31;1;Lag / retard normalisé;11-15-27-32-50;3-7;20260731;10-24-25-31-45;4-5;0;0
2026-07-31;2026-07-31;2;Chaînes de Markov;7-14-19-37-46;5-6;20260731;10-24-25-31-45;4-5;0;1
2026-09-04;2026-09-04;1;Momentum;3-15-38-46-50;1-4;20260904;11-12-19-27-46;4-12;1;1
2026-09-04;2026-09-04;2;Co-occurrence / graphe;15-19-24-29-44;7-11;20260904;11-12-19-27-46;4-12;1;0
2026-09-08;2026-09-08;1;Co-occurrence / graphe;2-23-29-37-44;4-12;20260908;13-17-33-35-39;7-12;0;1
2026-09-08;2026-09-08;2;Momentum;3-11-38-46-50;7-11;20260908;13-17-33-35-39;7-12;0;1
2026-09-11;2026-09-11;1;Momentum;11-15-35-38-48;4-12;20260911;1-7-15-39-50;1-11;1;0
2026-09-11;2026-09-11;2;Co-occurrence / graphe;9-21-29-44-50;1-11;20260911;1-7-15-39-50;1-11;1;2
2026-09-15;2026-09-15;1;Co-occurrence / graphe;4-25-29-44-48;4-12;20260915;10-16-18-22-28;6-10;0;0
2026-09-15;2026-09-15;2;Momentum;11-14-17-39-48;2-8;20260915;10-16-18-22-28;6-10;0;0
2026-09-18;2026-09-18;1;Momentum;1-16-39-45-50;4-12;20260918;8-17-25-30-44;2-3;0;0
2026-09-18;2026-09-18;2;Co-occurrence / graphe;6-17-31-37-44;2-8;20260918;8-17-25-30-44;2-3;2;1
2026-09-22;2026-09-22;1;Co-occurrence / graphe;5-23-26-39-50;4-12;20260922;13-14-16-44-50;10-12;1;1
2026-09-22;2026-09-22;2;Momentum;15-18-22-33-44;8-9;20260922;13-14-16-44-50;10-12;1;0
2026-09-25;2026-09-25;1;Momentum;13-16-19-33-44;4-12;20260925;;;;
2026-09-25;2026-09-25;2;Co-occurrence / graphe;4-17-26-35-39;8-9;20260925;;;;
2026-09-25;2026-09-25;3;Fréquence globale;10-19-23-44-50;2-3;20260925;;;;
2026-09-25;2026-09-25;4;Chaînes de Markov;10-21-29-42-50;4-12;20260925;;;;
2026-09-25;2026-09-25;5;Fenêtres glissantes;10-14-30-39-47;8-9;20260925;;;;
